,Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
0,N_BaIoT,0,rbf,QuantileTransformer,KNFST,0.9512559453682379,-1,-1,99.03703703703704,95.66666666666666,0.5416666666666667,95.66081562244568,95.66130873682943,-1,"{'0Normal': {'precision': 0.9852216748768473, 'recall': 1.0, 'f1-score': 0.9925558312655087, 'support': 200.0}, 'ack': {'precision': 0.9950248756218906, 'recall': 1.0, 'f1-score': 0.9975062344139651, 'support': 200.0}, 'combo': {'precision': 1.0, 'recall': 0.995, 'f1-score': 0.9974937343358395, 'support': 200.0}, 'junk': {'precision': 0.995, 'recall': 0.995, 'f1-score': 0.995, 'support': 200.0}, 'scan': {'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 200.0}, 'syn': {'precision': 0.9900990099009901, 'recall': 1.0, 'f1-score': 0.9950248756218906, 'support': 200.0}, 'tcp': {'precision': 0.8208955223880597, 'recall': 0.825, 'f1-score': 0.8229426433915212, 'support': 200.0}, 'udp': {'precision': 0.8232323232323232, 'recall': 0.815, 'f1-score': 0.8190954773869347, 'support': 200.0}, 'udpplain': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 200.0}, 'accuracy': 0.9566666666666667, 'macro avg': {'precision': 0.9566081562244568, 'recall': 0.9566666666666666, 'f1-score': 0.9566130873682943, 'support': 1800.0}, 'weighted avg': {'precision': 0.9566081562244567, 'recall': 0.9566666666666667, 'f1-score': 0.9566130873682944, 'support': 1800.0}}","[[200   0   0   0   0   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 199   1   0   0   0   0   0]
 [  1   0   0 199   0   0   0   0   0]
 [  2   0   0   0 196   2   0   0   0]
 [  0   0   0   0   0 200   0   0   0]
 [  0   0   0   0   0   0 165  35   0]
 [  0   1   0   0   0   0  36 163   0]
 [  0   0   0   0   0   0   0   0 200]]",112.29497694969177,0.3643651008605957
1,N_BaIoT,0,rbf,QuantileTransformer,KNN,0.9689091429392384,-1,-1,99.38271604938271,97.22222222222221,0.3472222222222222,97.35986519369439,97.22654646514232,-1,"{'0Normal': {'precision': 0.9898477157360406, 'recall': 0.975, 'f1-score': 0.982367758186398, 'support': 200.0}, 'ack': {'precision': 0.9560975609756097, 'recall': 0.98, 'f1-score': 0.9679012345679012, 'support': 200.0}, 'combo': {'precision': 0.9899497487437185, 'recall': 0.985, 'f1-score': 0.9874686716791979, 'support': 200.0}, 'junk': {'precision': 0.9800995024875622, 'recall': 0.985, 'f1-score': 0.9825436408977556, 'support': 200.0}, 'scan': {'precision': 0.99, 'recall': 0.99, 'f1-score': 0.99, 'support': 200.0}, 'syn': {'precision': 0.9950248756218906, 'recall': 1.0, 'f1-score': 0.9975062344139651, 'support': 200.0}, 'tcp': {'precision': 1.0, 'recall': 0.88, 'f1-score': 0.9361702127659575, 'support': 200.0}, 'udp': {'precision': 0.8761467889908257, 'recall': 0.955, 'f1-score': 0.9138755980861244, 'support': 200.0}, 'udpplain': {'precision': 0.9852216748768473, 'recall': 1.0, 'f1-score': 0.9925558312655087, 'support': 200.0}, 'accuracy': 0.9722222222222222, 'macro avg': {'precision': 0.9735986519369438, 'recall': 0.9722222222222222, 'f1-score': 0.9722654646514233, 'support': 1800.0}, 'weighted avg': {'precision': 0.9735986519369438, 'recall': 0.9722222222222222, 'f1-score': 0.9722654646514232, 'support': 1800.0}}","[[195   0   0   3   2   0   0   0   0]
 [  0 196   0   0   0   0   0   3   1]
 [  0   0 197   1   0   1   0   0   1]
 [  1   0   2 197   0   0   0   0   0]
 [  1   0   0   0 198   0   0   0   1]
 [  0   0   0   0   0 200   0   0   0]
 [  0   0   0   0   0   0 176  24   0]
 [  0   9   0   0   0   0   0 191   0]
 [  0   0   0   0   0   0   0   0 200]]",0.0004923343658447266,0.01292562484741211
2,N_BaIoT,0,rbf,QuantileTransformer,LDA,0.8933870686836799,-1,-1,97.85185185185186,90.33333333333334,1.2083333333333333,90.67024526907558,89.70711725447562,-1,"{'0Normal': {'precision': 0.9949748743718593, 'recall': 0.99, 'f1-score': 0.9924812030075187, 'support': 200.0}, 'ack': {'precision': 0.84688995215311, 'recall': 0.885, 'f1-score': 0.8655256723716381, 'support': 200.0}, 'combo': {'precision': 0.9024390243902439, 'recall': 0.925, 'f1-score': 0.9135802469135802, 'support': 200.0}, 'junk': {'precision': 0.9470899470899471, 'recall': 0.895, 'f1-score': 0.9203084832904884, 'support': 200.0}, 'scan': {'precision': 0.9850746268656716, 'recall': 0.99, 'f1-score': 0.9875311720698254, 'support': 200.0}, 'syn': {'precision': 1.0, 'recall': 0.99, 'f1-score': 0.9949748743718593, 'support': 200.0}, 'tcp': {'precision': 0.7194244604316546, 'recall': 1.0, 'f1-score': 0.8368200836820083, 'support': 200.0}, 'udp': {'precision': 0.7982456140350878, 'recall': 0.455, 'f1-score': 0.5796178343949044, 'support': 200.0}, 'udpplain': {'precision': 0.966183574879227, 'recall': 1.0, 'f1-score': 0.9828009828009828, 'support': 200.0}, 'accuracy': 0.9033333333333333, 'macro avg': {'precision': 0.9067024526907558, 'recall': 0.9033333333333334, 'f1-score': 0.8970711725447562, 'support': 1800.0}, 'weighted avg': {'precision': 0.9067024526907559, 'recall': 0.9033333333333333, 'f1-score': 0.8970711725447562, 'support': 1800.0}}","[[198   1   0   0   1   0   0   0   0]
 [  0 177   0   0   0   0   0  23   0]
 [  0   0 185  10   0   0   0   0   5]
 [  0   0  20 179   0   0   0   0   1]
 [  1   0   0   0 198   0   0   0   1]
 [  0   0   0   0   2 198   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0  31   0   0   0   0  78  91   0]
 [  0   0   0   0   0   0   0   0 200]]",0.031827688217163086,0.00041794776916503906
3,N_BaIoT,0,rbf,QuantileTransformer,SGD,0.8055448438038244,-1,-1,95.85185185185185,81.33333333333333,2.3333333333333335,79.04044828844339,78.57521207479752,-1,"{'0Normal': {'precision': 0.9900497512437811, 'recall': 0.995, 'f1-score': 0.9925187032418953, 'support': 200.0}, 'ack': {'precision': 0.9949748743718593, 'recall': 0.99, 'f1-score': 0.9924812030075187, 'support': 200.0}, 'combo': {'precision': 0.9049773755656109, 'recall': 1.0, 'f1-score': 0.9501187648456056, 'support': 200.0}, 'junk': {'precision': 1.0, 'recall': 0.88, 'f1-score': 0.9361702127659575, 'support': 200.0}, 'scan': {'precision': 0.38, 'recall': 0.855, 'f1-score': 0.5261538461538462, 'support': 200.0}, 'syn': {'precision': 0.8728070175438597, 'recall': 0.995, 'f1-score': 0.9299065420560748, 'support': 200.0}, 'tcp': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'udp': {'precision': 0.9758064516129032, 'recall': 0.605, 'f1-score': 0.7469135802469136, 'support': 200.0}, 'udpplain': {'precision': 0.9950248756218906, 'recall': 1.0, 'f1-score': 0.9975062344139651, 'support': 200.0}, 'accuracy': 0.8133333333333334, 'macro avg': {'precision': 0.7904044828844339, 'recall': 0.8133333333333334, 'f1-score': 0.7857521207479752, 'support': 1800.0}, 'weighted avg': {'precision': 0.7904044828844339, 'recall': 0.8133333333333334, 'f1-score': 0.7857521207479753, 'support': 1800.0}}","[[199   0   0   0   1   0   0   0   0]
 [  0 198   0   0   0   1   0   1   0]
 [  0   0 200   0   0   0   0   0   0]
 [  1   0  21 176   0   1   0   1   0]
 [  1   0   0   0 171  27   0   0   1]
 [  0   0   0   0   0 199   0   1   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0   1   0   0  78   0   0 121   0]
 [  0   0   0   0   0   0   0   0 200]]",0.16759753227233887,0.0004286766052246094
4,N_BaIoT,0,rbf,QuantileTransformer,GauNB,0.7230110392507432,-1,-1,94.4320987654321,74.94444444444446,3.131944444444444,79.4930785287381,74.80979597224804,-1,"{'0Normal': {'precision': 0.9845360824742269, 'recall': 0.955, 'f1-score': 0.9695431472081218, 'support': 200.0}, 'ack': {'precision': 0.6770833333333334, 'recall': 0.65, 'f1-score': 0.6632653061224489, 'support': 200.0}, 'combo': {'precision': 0.6363636363636364, 'recall': 0.98, 'f1-score': 0.7716535433070866, 'support': 200.0}, 'junk': {'precision': 0.9560439560439561, 'recall': 0.435, 'f1-score': 0.5979381443298969, 'support': 200.0}, 'scan': {'precision': 0.945054945054945, 'recall': 0.86, 'f1-score': 0.900523560209424, 'support': 200.0}, 'syn': {'precision': 1.0, 'recall': 0.99, 'f1-score': 0.9949748743718593, 'support': 200.0}, 'tcp': {'precision': 0.7194244604316546, 'recall': 1.0, 'f1-score': 0.8368200836820083, 'support': 200.0}, 'udp': {'precision': 0.25311203319502074, 'recall': 0.305, 'f1-score': 0.2766439909297052, 'support': 200.0}, 'udpplain': {'precision': 0.9827586206896551, 'recall': 0.57, 'f1-score': 0.7215189873417721, 'support': 200.0}, 'accuracy': 0.7494444444444445, 'macro avg': {'precision': 0.7949307852873809, 'recall': 0.7494444444444446, 'f1-score': 0.7480979597224804, 'support': 1800.0}, 'weighted avg': {'precision': 0.7949307852873808, 'recall': 0.7494444444444445, 'f1-score': 0.7480979597224803, 'support': 1800.0}}","[[191   0   0   0   7   0   0   2   0]
 [  0 130   0   0   1   0   0  69   0]
 [  0   0 196   4   0   0   0   0   0]
 [  1   0 112  87   0   0   0   0   0]
 [  2   0   0   0 172   0   0  24   2]
 [  0   0   0   0   2 198   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0  61   0   0   0   0  78  61   0]
 [  0   1   0   0   0   0   0  85 114]]",0.0032973289489746094,0.003253936767578125
5,N_BaIoT,0,rbf,QuantileTransformer,NC,0.42882201928640923,-1,-1,88.13580246913581,46.6111111111111,6.673611111111111,35.02213142804867,36.83923363651482,-1,"{'0Normal': {'precision': 0.6339622641509434, 'recall': 0.84, 'f1-score': 0.7225806451612903, 'support': 200.0}, 'ack': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'combo': {'precision': 0.896, 'recall': 0.56, 'f1-score': 0.6892307692307692, 'support': 200.0}, 'junk': {'precision': 0.30658105939004815, 'recall': 0.955, 'f1-score': 0.4641555285540705, 'support': 200.0}, 'scan': {'precision': 0.3511627906976744, 'recall': 0.755, 'f1-score': 0.4793650793650794, 'support': 200.0}, 'syn': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'tcp': {'precision': 0.7142857142857143, 'recall': 1.0, 'f1-score': 0.8333333333333334, 'support': 200.0}, 'udp': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'udpplain': {'precision': 0.25, 'recall': 0.085, 'f1-score': 0.12686567164179105, 'support': 200.0}, 'accuracy': 0.4661111111111111, 'macro avg': {'precision': 0.3502213142804867, 'recall': 0.46611111111111103, 'f1-score': 0.3683923363651482, 'support': 1800.0}, 'weighted avg': {'precision': 0.3502213142804867, 'recall': 0.4661111111111111, 'f1-score': 0.3683923363651482, 'support': 1800.0}}","[[168   6   0   5  11   2   0   0   8]
 [  0   0   0 131  69   0   0   0   0]
 [  0   0 112  88   0   0   0   0   0]
 [  1   0   8 191   0   0   0   0   0]
 [  4   0   0   0 151   0   2   0  43]
 [  0   0   0 128  72   0   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   1   0  80  41   0  78   0   0]
 [ 92   0   5   0  86   0   0   0  17]]",0.0010788440704345703,0.05600738525390625
6,N_BaIoT,0,rbf,QuantileTransformer,RNC,0.6543317012122375,-1,-1,92.32098765432099,65.44444444444444,4.319444444444445,88.75824071925256,68.15129660988669,-1,"{'0Normal': {'precision': 0.26881720430107525, 'recall': 1.0, 'f1-score': 0.423728813559322, 'support': 200.0}, 'ack': {'precision': 1.0, 'recall': 0.4, 'f1-score': 0.5714285714285714, 'support': 200.0}, 'combo': {'precision': 1.0, 'recall': 0.46, 'f1-score': 0.6301369863013698, 'support': 200.0}, 'junk': {'precision': 1.0, 'recall': 0.765, 'f1-score': 0.8668555240793201, 'support': 200.0}, 'scan': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.8888888888888888, 'support': 200.0}, 'syn': {'precision': 1.0, 'recall': 0.7, 'f1-score': 0.8235294117647058, 'support': 200.0}, 'tcp': {'precision': 0.7194244604316546, 'recall': 1.0, 'f1-score': 0.8368200836820083, 'support': 200.0}, 'udp': {'precision': 1.0, 'recall': 0.285, 'f1-score': 0.44357976653696496, 'support': 200.0}, 'udpplain': {'precision': 1.0, 'recall': 0.48, 'f1-score': 0.6486486486486487, 'support': 200.0}, 'accuracy': 0.6544444444444445, 'macro avg': {'precision': 0.8875824071925256, 'recall': 0.6544444444444445, 'f1-score': 0.6815129660988668, 'support': 1800.0}, 'weighted avg': {'precision': 0.8875824071925255, 'recall': 0.6544444444444445, 'f1-score': 0.6815129660988667, 'support': 1800.0}}","[[200   0   0   0   0   0   0   0   0]
 [120  80   0   0   0   0   0   0   0]
 [108   0  92   0   0   0   0   0   0]
 [ 47   0   0 153   0   0   0   0   0]
 [ 40   0   0   0 160   0   0   0   0]
 [ 60   0   0   0   0 140   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [ 65   0   0   0   0   0  78  57   0]
 [104   0   0   0   0   0   0   0  96]]",0.00040459632873535156,0.013903379440307617
7,N_BaIoT,0,poly,QuantileTransformer,KNN,0.9701108280189822,-1,-1,99.4074074074074,97.33333333333333,0.33333333333333337,97.43742070792875,97.34044149164691,-1,"{'0Normal': {'precision': 0.985, 'recall': 0.985, 'f1-score': 0.985, 'support': 200.0}, 'ack': {'precision': 0.9560975609756097, 'recall': 0.98, 'f1-score': 0.9679012345679012, 'support': 200.0}, 'combo': {'precision': 0.9948186528497409, 'recall': 0.96, 'f1-score': 0.9770992366412213, 'support': 200.0}, 'junk': {'precision': 0.9658536585365853, 'recall': 0.99, 'f1-score': 0.9777777777777777, 'support': 200.0}, 'scan': {'precision': 0.99, 'recall': 0.99, 'f1-score': 0.99, 'support': 200.0}, 'syn': {'precision': 0.9950248756218906, 'recall': 1.0, 'f1-score': 0.9975062344139651, 'support': 200.0}, 'tcp': {'precision': 1.0, 'recall': 0.905, 'f1-score': 0.9501312335958005, 'support': 200.0}, 'udp': {'precision': 0.8925233644859814, 'recall': 0.955, 'f1-score': 0.9227053140096618, 'support': 200.0}, 'udpplain': {'precision': 0.9900497512437811, 'recall': 0.995, 'f1-score': 0.9925187032418953, 'support': 200.0}, 'accuracy': 0.9733333333333334, 'macro avg': {'precision': 0.9743742070792876, 'recall': 0.9733333333333333, 'f1-score': 0.9734044149164691, 'support': 1800.0}, 'weighted avg': {'precision': 0.9743742070792876, 'recall': 0.9733333333333334, 'f1-score': 0.9734044149164692, 'support': 1800.0}}","[[197   0   0   1   2   0   0   0   0]
 [  0 196   0   0   0   0   0   3   1]
 [  0   0 192   6   0   1   0   0   1]
 [  1   0   1 198   0   0   0   0   0]
 [  2   0   0   0 198   0   0   0   0]
 [  0   0   0   0   0 200   0   0   0]
 [  0   0   0   0   0   0 181  19   0]
 [  0   9   0   0   0   0   0 191   0]
 [  0   0   0   0   0   0   0   1 199]]",0.0006442070007324219,0.022369384765625
8,N_BaIoT,0,poly,QuantileTransformer,LDA,0.8860146929468689,-1,-1,97.70370370370371,89.66666666666667,1.2916666666666667,90.22602817651166,89.10156347612327,-1,"{'0Normal': {'precision': 0.9899497487437185, 'recall': 0.985, 'f1-score': 0.9874686716791979, 'support': 200.0}, 'ack': {'precision': 0.7927927927927928, 'recall': 0.88, 'f1-score': 0.8341232227488151, 'support': 200.0}, 'combo': {'precision': 0.8853211009174312, 'recall': 0.965, 'f1-score': 0.9234449760765551, 'support': 200.0}, 'junk': {'precision': 0.9775280898876404, 'recall': 0.87, 'f1-score': 0.9206349206349206, 'support': 200.0}, 'scan': {'precision': 0.9850746268656716, 'recall': 0.99, 'f1-score': 0.9875311720698254, 'support': 200.0}, 'syn': {'precision': 1.0, 'recall': 0.995, 'f1-score': 0.9974937343358395, 'support': 200.0}, 'tcp': {'precision': 0.7194244604316546, 'recall': 1.0, 'f1-score': 0.8368200836820083, 'support': 200.0}, 'udp': {'precision': 0.7913043478260869, 'recall': 0.455, 'f1-score': 0.5777777777777777, 'support': 200.0}, 'udpplain': {'precision': 0.9789473684210527, 'recall': 0.93, 'f1-score': 0.9538461538461539, 'support': 200.0}, 'accuracy': 0.8966666666666666, 'macro avg': {'precision': 0.9022602817651166, 'recall': 0.8966666666666667, 'f1-score': 0.8910156347612327, 'support': 1800.0}, 'weighted avg': {'precision': 0.9022602817651165, 'recall': 0.8966666666666666, 'f1-score': 0.8910156347612326, 'support': 1800.0}}","[[197   1   0   0   2   0   0   0   0]
 [  0 176   0   0   0   0   0  24   0]
 [  0   0 193   4   0   0   0   0   3]
 [  1   0  25 174   0   0   0   0   0]
 [  1   0   0   0 198   0   0   0   1]
 [  0   0   0   0   1 199   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0  31   0   0   0   0  78  91   0]
 [  0  14   0   0   0   0   0   0 186]]",0.025919198989868164,0.000774383544921875
9,N_BaIoT,0,poly,QuantileTransformer,SGD,0.8185237889809613,-1,-1,96.04938271604938,82.22222222222223,2.2222222222222223,80.23759756894245,78.8392241197829,-1,"{'0Normal': {'precision': 0.9900497512437811, 'recall': 0.995, 'f1-score': 0.9925187032418953, 'support': 200.0}, 'ack': {'precision': 0.8695652173913043, 'recall': 1.0, 'f1-score': 0.9302325581395349, 'support': 200.0}, 'combo': {'precision': 0.9851485148514851, 'recall': 0.995, 'f1-score': 0.9900497512437811, 'support': 200.0}, 'junk': {'precision': 0.98989898989899, 'recall': 0.98, 'f1-score': 0.9849246231155779, 'support': 200.0}, 'scan': {'precision': 0.4129979035639413, 'recall': 0.985, 'f1-score': 0.5819793205317577, 'support': 200.0}, 'syn': {'precision': 1.0, 'recall': 0.99, 'f1-score': 0.9949748743718593, 'support': 200.0}, 'tcp': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'udp': {'precision': 0.9787234042553191, 'recall': 0.46, 'f1-score': 0.6258503401360545, 'support': 200.0}, 'udpplain': {'precision': 0.995, 'recall': 0.995, 'f1-score': 0.995, 'support': 200.0}, 'accuracy': 0.8222222222222222, 'macro avg': {'precision': 0.8023759756894245, 'recall': 0.8222222222222223, 'f1-score': 0.788392241197829, 'support': 1800.0}, 'weighted avg': {'precision': 0.8023759756894245, 'recall': 0.8222222222222222, 'f1-score': 0.788392241197829, 'support': 1800.0}}","[[199   0   0   0   1   0   0   0   0]
 [  0 200   0   0   0   0   0   0   0]
 [  0   0 199   1   0   0   0   0   0]
 [  1   0   3 196   0   0   0   0   0]
 [  1   0   0   0 197   0   0   1   1]
 [  0   0   0   0   1 198   0   1   0]
 [  0   0   0   0 200   0   0   0   0]
 [  0  29   0   1  78   0   0  92   0]
 [  0   1   0   0   0   0   0   0 199]]",0.1444716453552246,0.00041985511779785156
10,N_BaIoT,0,poly,QuantileTransformer,GauNB,0.7124218278262845,-1,-1,94.22222222222221,74.0,3.25,78.67461111046588,73.79969773527628,-1,"{'0Normal': {'precision': 0.9845360824742269, 'recall': 0.955, 'f1-score': 0.9695431472081218, 'support': 200.0}, 'ack': {'precision': 0.6274509803921569, 'recall': 0.64, 'f1-score': 0.6336633663366337, 'support': 200.0}, 'combo': {'precision': 0.6334405144694534, 'recall': 0.985, 'f1-score': 0.7710371819960861, 'support': 200.0}, 'junk': {'precision': 0.9659090909090909, 'recall': 0.425, 'f1-score': 0.5902777777777778, 'support': 200.0}, 'scan': {'precision': 0.9508196721311475, 'recall': 0.87, 'f1-score': 0.9086161879895561, 'support': 200.0}, 'syn': {'precision': 1.0, 'recall': 0.985, 'f1-score': 0.9924433249370277, 'support': 200.0}, 'tcp': {'precision': 0.7194244604316546, 'recall': 1.0, 'f1-score': 0.8368200836820083, 'support': 200.0}, 'udp': {'precision': 0.19913419913419914, 'recall': 0.23, 'f1-score': 0.21345707656612528, 'support': 200.0}, 'udpplain': {'precision': 1.0, 'recall': 0.57, 'f1-score': 0.7261146496815286, 'support': 200.0}, 'accuracy': 0.74, 'macro avg': {'precision': 0.7867461111046588, 'recall': 0.74, 'f1-score': 0.7379969773527628, 'support': 1800.0}, 'weighted avg': {'precision': 0.7867461111046588, 'recall': 0.74, 'f1-score': 0.7379969773527629, 'support': 1800.0}}","[[191   0   0   0   7   0   0   2   0]
 [  0 128   0   0   0   0   0  72   0]
 [  0   0 197   3   0   0   0   0   0]
 [  1   0 114  85   0   0   0   0   0]
 [  2   0   0   0 174   0   0  24   0]
 [  0   0   0   0   2 197   0   1   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0  76   0   0   0   0  78  46   0]
 [  0   0   0   0   0   0   0  86 114]]",0.0032320022583007812,0.0030303001403808594
11,N_BaIoT,0,poly,QuantileTransformer,NC,0.49556323010878595,-1,-1,89.41975308641975,52.388888888888886,5.951388888888888,50.229088855218194,45.39422065273863,-1,"{'0Normal': {'precision': 0.9882352941176471, 'recall': 0.84, 'f1-score': 0.9081081081081082, 'support': 200.0}, 'ack': {'precision': 0.5555555555555556, 'recall': 0.05, 'f1-score': 0.09174311926605505, 'support': 200.0}, 'combo': {'precision': 0.923728813559322, 'recall': 0.545, 'f1-score': 0.6855345911949685, 'support': 200.0}, 'junk': {'precision': 0.31311475409836065, 'recall': 0.955, 'f1-score': 0.47160493827160493, 'support': 200.0}, 'scan': {'precision': 0.3471264367816092, 'recall': 0.755, 'f1-score': 0.4755905511811024, 'support': 200.0}, 'syn': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'tcp': {'precision': 0.7142857142857143, 'recall': 1.0, 'f1-score': 0.8333333333333334, 'support': 200.0}, 'udp': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'udpplain': {'precision': 0.6785714285714286, 'recall': 0.57, 'f1-score': 0.6195652173913043, 'support': 200.0}, 'accuracy': 0.5238888888888888, 'macro avg': {'precision': 0.502290888552182, 'recall': 0.5238888888888888, 'f1-score': 0.4539422065273863, 'support': 1800.0}, 'weighted avg': {'precision': 0.5022908885521821, 'recall': 0.5238888888888888, 'f1-score': 0.45394220652738637, 'support': 1800.0}}","[[168   4   1   5  16   1   0   0   5]
 [  0  10   0 121  69   0   0   0   0]
 [  0   0 109  88   0   0   0   0   3]
 [  1   0   8 191   0   0   0   0   0]
 [  1   0   0   0 151   0   2   0  46]
 [  0   0   0 128  72   0   0   0   0]
 [  0   0   0   0   0   0 200   0   0]
 [  0   4   0  77  41   0  78   0   0]
 [  0   0   0   0  86   0   0   0 114]]",0.0010957717895507812,0.0005862712860107422
12,N_BaIoT,0,poly,QuantileTransformer,RNC,0.5608298738819747,-1,-1,90.44444444444444,57.00000000000001,5.375,85.13593438064737,58.06087603422064,-1,"{'0Normal': {'precision': 0.2574002574002574, 'recall': 1.0, 'f1-score': 0.4094165813715456, 'support': 200.0}, 'ack': {'precision': 1.0, 'recall': 0.4, 'f1-score': 0.5714285714285714, 'support': 200.0}, 'combo': {'precision': 1.0, 'recall': 0.34, 'f1-score': 0.5074626865671642, 'support': 200.0}, 'junk': {'precision': 1.0, 'recall': 0.71, 'f1-score': 0.8304093567251462, 'support': 200.0}, 'scan': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.8888888888888888, 'support': 200.0}, 'syn': {'precision': 1.0, 'recall': 0.71, 'f1-score': 0.8304093567251462, 'support': 200.0}, 'tcp': {'precision': 1.0, 'recall': 0.015, 'f1-score': 0.029556650246305417, 'support': 200.0}, 'udp': {'precision': 0.40483383685800606, 'recall': 0.67, 'f1-score': 0.504708097928437, 'support': 200.0}, 'udpplain': {'precision': 1.0, 'recall': 0.485, 'f1-score': 0.6531986531986532, 'support': 200.0}, 'accuracy': 0.57, 'macro avg': {'precision': 0.8513593438064737, 'recall': 0.5700000000000001, 'f1-score': 0.5806087603422064, 'support': 1800.0}, 'weighted avg': {'precision': 0.8513593438064737, 'recall': 0.57, 'f1-score': 0.5806087603422064, 'support': 1800.0}}","[[200   0   0   0   0   0   0   0   0]
 [120  80   0   0   0   0   0   0   0]
 [132   0  68   0   0   0   0   0   0]
 [ 58   0   0 142   0   0   0   0   0]
 [ 40   0   0   0 160   0   0   0   0]
 [ 58   0   0   0   0 142   0   0   0]
 [  0   0   0   0   0   0   3 197   0]
 [ 66   0   0   0   0   0   0 134   0]
 [103   0   0   0   0   0   0   0  97]]",0.0005080699920654297,0.051972150802612305
13,N_BaIoT,0,linear,QuantileTransformer,KNN,0.7595192909808315,-1,-1,95.01234567901234,77.55555555555556,2.8055555555555554,74.0099766326816,74.83980745944906,-1,"{'0Normal': {'precision': 0.9162303664921466, 'recall': 0.875, 'f1-score': 0.8951406649616368, 'support': 200.0}, 'ack': {'precision': 0.8159203980099502, 'recall': 0.82, 'f1-score': 0.8179551122194514, 'support': 200.0}, 'combo': {'precision': 0.9166666666666666, 'recall': 0.825, 'f1-score': 0.868421052631579, 'support': 200.0}, 'junk': {'precision': 0.8190045248868778, 'recall': 0.905, 'f1-score': 0.8598574821852731, 'support': 200.0}, 'scan': {'precision': 0.9242424242424242, 'recall': 0.915, 'f1-score': 0.9195979899497487, 'support': 200.0}, 'syn': {'precision': 0.9595959595959596, 'recall': 0.95, 'f1-score': 0.9547738693467337, 'support': 200.0}, 'tcp': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'udp': {'precision': 0.3947990543735225, 'recall': 0.835, 'f1-score': 0.536115569823435, 'support': 200.0}, 'udpplain': {'precision': 0.9144385026737968, 'recall': 0.855, 'f1-score': 0.8837209302325582, 'support': 200.0}, 'accuracy': 0.7755555555555556, 'macro avg': {'precision': 0.7400997663268161, 'recall': 0.7755555555555556, 'f1-score': 0.7483980745944906, 'support': 1800.0}, 'weighted avg': {'precision': 0.7400997663268161, 'recall': 0.7755555555555556, 'f1-score': 0.7483980745944907, 'support': 1800.0}}","[[175   0   0   7   6   2   0   4   6]
 [  0 164   0   0   0   0   0  28   8]
 [  0   0 165  31   0   3   0   0   1]
 [  1   0  15 181   0   3   0   0   0]
 [ 15   0   0   1 183   0   1   0   0]
 [  0   0   0   1   9 190   0   0   0]
 [  0   0   0   0   0   0   0 200   0]
 [  0  32   0   0   0   0   0 167   1]
 [  0   5   0   0   0   0   0  24 171]]",0.0003533363342285156,0.0025157928466796875
